"id";"image";"year";"month_name";"day_name";"year_day";"date";"page_text";"processed"
1;"td_00000_b1.jpg";1917;"OCTOBRE";"4 JEUDI. S. Francois d'A.";277;"1917-10-04 00:00:00";"Arose early and got dressed and went to Marnay to visit Mmes De Geger and Mayer. Had a pleasant day and met some ladies from Paris Walked from Mouchard to Marnay. Paid mess bill 10 francs Expected to see Mlle Dole but did not.";1
2;"td_00000_b2.jpg";1917;"OCTOBRE";"5 VENDREDI. S. Placide";278;"1917-10-05 00:00:00";"Rainy day. Getting 
settled in new
quarters.";1
3;"td_00001_b1.jpg";1917;"OCTOBRE";"6 SAMEDI. S. Bruno";279;"1917-10-06 00:00:00";"Went to Pontarlier and
bought rug, curtain,
tablecloth for my room.
The day was very cold, the
people said it had
snowed the night before.
Bought a dress for Izie
and mailed it from
Pontarlier.
Had dinner at Hotel du
la Poste. Was invited to
afternoon tea with 
Mme & Mlles Thomas.
Met Mme Parrod and 
enjoyed talking to her
very much.
Received two French letters
but none from home.
Some American and
Canadian mail came
dates as late as Sept 15; so
ours will be here.";1
4;"td_00001_b2.jpg";1917;"OCTOBRE";"7 DIMANCHE. Ste Foi";280;"1917-10-07 00:00:00";"Thanksgiving Sunday.
Preached Thanksgiving sermon at La Joux and Glaciere Hill.
We should be thankful for 
1. The bountiful harvest 
2. Divine help,
3. Home,
4. Hope,
5. Heaven.
Visitors were here from Salins to attend the concert to benefit Group Hospital
I attended the  concert with Mme De Geger. 
It is interesting to hear her talk English.
Got letter from Izie tonight. All are well.
Clear in the morning but rain at night.
The winter is setting in.";1
5;"td_00002_b1.jpg";1917;"OCTOBRE";"8 LUNDI. Ste Brigitte";281;"1917-10-08 00:00:00";"Monday, The aftermath of Sunday.
Rain, & how it did rain!
Received several letters
Prof. Lapalus, Mlles Dubied, Dole, 
Leben, Mrs. White, Pte Roach.
The Concert for
benefit of Group Hospital
had the last performance.
The colored boys voted
500 francs but declined
to go. If they were not
good enough to go when
others went they would
not take the leavings. 
Officers sympathetic.";1
6;"td_00002_b2.jpg";1917;"OCTOBRE";"9 MARDI. S. Denis, ev.";282;"1917-10-09 00:00:00";"Rain !!!
Wrote letters to Izie,
Mlle Dubied, Prof. Lapalus
Mrs. Fred Borden.
The rain is depressing
I feel lonely.
Would like a letter from
Dr. King or somebody who
would cheer one up.
Rec&#39;d letters from
Izie, Rev. Logan, Miss Jackson.
Roof leaking - had to pull my head under
cover like a turtle.";1
7;"td_00003_b1.jpg";1917;"OCTOBRE";"10 MERCREDI. S. Francois B.";283;"1917-10-10 00:00:00";"Still it rains!
Received box from
Izie with two nice 
shirts in it.
Wrote to Izie, Jennie Leben,
Rev. Logan.";1
8;"td_00003_b2.jpg";1917;"OCTOBRE";"11 JEUDI. S. Julien";284;"1917-10-11 00:00:00";"Woke up to see the
snow coming down
in heavy flakes. Other
memories of home.
Wrote Izie, Mlle Wilford.
Miss Jackson, Pte Roach,
Bro. Milton, Mme Levy.
Col. Johnson woke
things up around the
camp a little.
Rec&#39;d letters from
Izie and Mrs. Frank Paris.";1
9;"td_00004_b1.jpg";1917;"OCTOBRE";"12 VENDREDI. S. Donatien";285;"1917-10-12 00:00:00";"The Lord reigneth
let the Earth rejoice.
Wrote to Izie, Bessie Paris,
Rev. Hartley, Sister Campbell
and send service card
to some friends.
Yes it rains. The
deeper thoughts flow
through the soul.
Lieut. Stewart of C.A.S.C.
was here and spent the
night.";1
10;"td_00004_b2.jpg";1917;"OCTOBRE";"13 SAMEDI. S. Geraud";286;"1917-10-13 00:00:00";"Morning fair, looked like
a fine day - rain, rain,
rain - I wonder when
the water supply will give
out. Tree blew down in
front of officers quarters.
Wrote to Izie, Syd Jones.
Expected some letters that
did not come.";1
