"id";"image";"year";"month_name";"day_name";"year_day";"date";"page_text";"processed"
1;"td_00000_b1.jpg";1917;"OCTOBRE";"4 JEUDI. S. Francois d'A.";277;"1917-10-04 00:00:00";"Arose early and gotdressed and wentto Marnay to visitMmes De Geger andMayer. Had a pleasantday and met someladies from ParisWalked from Mouchard to Marnay.Paid mess bill 10 francsExpected to see Mlle Dolebut did not.";1
2;"td_00000_b2.jpg";1917;"OCTOBRE";"5 VENDREDI. S. Placide";278;"1917-10-05 00:00:00";"Rainy day. Gettingsettled in newquarters.";1
3;"td_00001_b1.jpg";1917;"OCTOBRE";"6 SAMEDI. S. Bruno";279;"1917-10-06 00:00:00";"Went to Pontarlier andbought rug, curtain,tablecloth for my room.The day was very cold, thepeople said it hadsnowed the night before.Bought a dress for Izieand mailed it fromPontarlier.Had dinner at Hotel dula Poste. Was invited toafternoon tea withMme & Mlles Thomas.Met Mme Parrod andenjoyed talking to hervery much.Received two French lettersbut none from home.Some American andCanadian mail camedates as late as Sept 15; soours will be here.";1
4;"td_00001_b2.jpg";1917;"OCTOBRE";"7 DIMANCHE. Ste Foi";280;"1917-10-07 00:00:00";"Thanksgiving Sunday.Preached Thanksgiving sermon at La Joux and Glaciere Hill.We should be thankful for1. The bountiful harvest2. Divine help,3. Home,4. Hope,5. Heaven.Visitors were here from Salins to attend the concert to benefit Group HospitalI attended the  concert with Mme De Geger.It is interesting to hear her talk English.Got letter from Izie tonight. All are well.Clear in the morning but rain at night.The winter is setting in.";1
5;"td_00002_b1.jpg";1917;"OCTOBRE";"8 LUNDI. Ste Brigitte";281;"1917-10-08 00:00:00";"Monday, The aftermath of Sunday.Rain, & how it did rain!Received several lettersProf. Lapalus, Mlles Dubied, Dole,Leben, Mrs. White, Pte Roach.The Concert forbenefit of Group Hospitalhad the last performance.The colored boys voted500 francs but declinedto go. If they were notgood enough to go whenothers went they wouldnot take the leavings.Officers sympathetic.";1
6;"td_00002_b2.jpg";1917;"OCTOBRE";"9 MARDI. S. Denis, ev.";282;"1917-10-09 00:00:00";"Rain !!!Wrote letters to Izie,Mlle Dubied, Prof. LapalusMrs. Fred Borden.The rain is depressingI feel lonely.Would like a letter fromDr. King or somebody whowould cheer one up.Rec&#39;d letters fromIzie, Rev. Logan, Miss Jackson.Roof leaking - had to pull my head undercover like a turtle.";1
7;"td_00003_b1.jpg";1917;"OCTOBRE";"10 MERCREDI. S. Francois B.";283;"1917-10-10 00:00:00";"Still it rains!Received box fromIzie with two niceshirts in it.Wrote to Izie, Jennie Leben,Rev. Logan.";1
8;"td_00003_b2.jpg";1917;"OCTOBRE";"11 JEUDI. S. Julien";284;"1917-10-11 00:00:00";"Woke up to see thesnow coming downin heavy flakes. Othermemories of home.Wrote Izie, Mlle Wilford.Miss Jackson, Pte Roach,Bro. Milton, Mme Levy.Col. Johnson wokethings up around thecamp a little.Rec&#39;d letters fromIzie and Mrs. Frank Paris.";1
9;"td_00004_b1.jpg";1917;"OCTOBRE";"12 VENDREDI. S. Donatien";285;"1917-10-12 00:00:00";"The Lord reignethlet the Earth rejoice.Wrote to Izie, Bessie Paris,Rev. Hartley, Sister Campbelland send service cardto some friends.Yes it rains. Thedeeper thoughts flowthrough the soul.Lieut. Stewart of C.A.S.C.was here and spent thenight.";1
10;"td_00004_b2.jpg";1917;"OCTOBRE";"13 SAMEDI. S. Geraud";286;"1917-10-13 00:00:00";"Morning fair, looked likea fine day - rain, rain,rain - I wonder whenthe water supply will giveout. Tree blew down infront of officers quarters.Wrote to Izie, Syd Jones.Expected some letters thatdid not come.";1
